#'chr'	'start'	'end'	'D1535_D1480C05_H3K27me3_bulk_r1'	'D1535_D1480C06_H3K27me3_bulk_r2'	'GSM7645437_H3K27me3_zygote.mm10'	'L548_Zygote_rH3K27me3'	'L548_Zygote_4_rH3K27me3_pA_Cell1'	'L548_Zygote_5_rH3K27me3_pA_Cell6'	'L548_Zygote_rH3K4me1'	'L548_Zygote_4_rH3K4me1_pA_Cell5'	'L548_Zygote_5_rH3K4me1_pA_Cell10'	'GSM7645420_H3K4me1_zygote.mm10'	'D1888_Zygotes_all_rH3K27me3_RNA_pseudobulk'	'D1888_Zygotes_all_rH3K4me1_RNA_pseudobulk'
chr6	20500000	21000000	0.08434794677734375	0.05770117333459854	0.4396337211773662	0.06635211535242103	0.07256563022246337	0.2688220391811043	0.08498662637945618	0.05650311918170695	0.08636927475766783	0.3114164348010552	0.008496475002949354	0.014708275767887287
chr6	21000000	21500000	0.059744829132080075	0.05024961187505722	0.37299806728921225	0.10427877947030299	0.14425427212128664	0.21747873352104874	0.09233355915046461	0.1261261222661942	0.06497532421546191	0.3301157151109649	0.0006345851529326107	0.0007406837896681572
chr6	21500000	22000000	0.060295905853271485	0.05483073976755142	0.3901865785711611	0.05315932730806791	0.05256240234375	0.06495194921875	0.10498799919051352	0.05306177147633184	0.07829348355626577	0.41225673019297526	0.282443500912093	0.2317902408970086
chr6	22000000	22500000	0.029186118133544922	0.028434975164413453	0.25849500509029305	0.021705344326240862	0.0	0.025980798828125	0.13555338494441482	0.11432068947762569	0.1285968866628525	0.39475339751750665	0.17040480002073383	0.06202954159950286
chr6	22500000	23000000	0.0613529026184082	0.04988531182003021	0.41609688074861473	0.0891462896383576	0.0	0.16023073753692763	0.12201076315400093	0.1494580919438791	0.08951615904158776	0.3732662436050787	0.002314836299220069	0.0052762596495428745
chr6	23000000	23500000	0.036848998046875	0.03584706226921081	0.24960537802640775	0.021658958408709038	0.0	0.002149074963072378	0.13631511703645338	0.19854439331562027	0.11901427014612269	0.3900343512126644	0.004569111511937908	0.006534649951317514
chr6	23500000	24000000	0.039782878662109375	0.036641624623298646	0.28415778572409145	0.04013400297797905	0.0854138984375	0.0	0.1239740449878423	0.13250809520717183	0.15261816236255787	0.4077608328593184	0.012698823140644636	0.0012244059784430866
chr6	24000000	24500000	0.0376421608581543	0.0348456406314373	0.27273832063620085	0.021966010685847356	0.0	0.0	0.08683586664989743	0.09588364780147222	0.07597218156993109	0.3692809664101949	0.0003164008465839214	0.0004084456079043159
chr6	24500000	25000000	0.029016404693603514	0.028093125754594803	0.22640731841007516	0.032839434696407106	0.144546609375	0.0	0.12015328486032198	0.13172873364492918	0.11765678693017415	0.42413760867644523	0.07833480335888608	0.0682704128231263
chr6	25000000	25500000	0.039631926635742186	0.03756485880589485	0.24974427889517395	0.01905853069196428	0.0	0.0	0.0787753932969835	0.1396758030038825	0.10636128700415615	0.3621342283116783	0.0006144431954915406	0.0009505377115457095
chr6	25500000	26000000	0.05323694079589844	0.04376323532557488	0.2984420344971483	0.027254302594866074	0.0	0.06495194921875	0.083709179982195	0.06089228690569762	0.05174358925024989	0.32397837869746504	0.005212135070961029	0.006004755840991125
chr6	26000000	26500000	0.0688168264465332	0.05740229662537575	0.39928253088027904	0.059018827287946427	0.0	0.077942328125	0.09625061092492307	0.12242240120521077	0.09074654566827126	0.2596743031279401	0.00020224200119737723	0.00023770729333485741
chr6	26500000	27000000	0.050474648406982424	0.04576048841738701	0.28647118871212307	0.03423716864329867	0.04225037689362743	0.08082054671344166	0.06761643475280145	0.06833729828552154	0.06496915842260495	0.3246221507644653	0.003263959120531551	0.00568648032408352
chr6	27000000	27500000	0.04708713145446777	0.038729008064508436	0.36157683351325376	0.09002683851036658	0.24495876401266134	0.08805448453655836	0.08465032972239485	0.10771133383390617	0.07015350750999579	0.3330697805477235	0.004908284506367856	0.025357346908616005
chr6	27500000	28000000	0.03076980531311035	0.033534224742650984	0.25903296438510887	0.02169119267543631	0.06101655049996124	0.0	0.15084317208399914	0.15069249455540418	0.11981518945970118	0.4555390082844059	0.010228077443556707	0.0004931635992125022
chr6	28000000	28500000	0.03789000428771973	0.03811258322286606	0.3451822850408097	0.0743231431591567	0.05256240234375	0.0	0.1787673519422743	0.10978407723802584	0.14454174865661007	0.4145703006048435	0.035257271111128766	0.018231122253026148
chr6	28500000	29000000	0.021888710250854492	0.02149466666507721	0.23689264670277554	0.06367980277097693	0.06848115799647314	0.014346363217780649	0.20593442741625237	0.3347273672369963	0.2340741792676521	0.485771373296226	0.03581950131769649	0.014842053461586782
chr6	29000000	29500000	0.02375377702331543	0.022724190305829048	0.23977579631495857	0.1332490045771576	0.3075864048420423	0.05001291681283851	0.22419618622011125	0.1571172996269957	0.256883710624515	0.517438359849139	0.04055209290151127	0.041340890471190446
chr6	29500000	30000000	0.01746515510559082	0.019625104644417763	0.1744180865193815	0.08139068967618598	0.044431648098984575	0.08503026879750585	0.1981326356090199	0.1478494082055998	0.15759966193592828	0.4948434603829733	0.02651086139366275	0.059605684630637944
chr6	30000000	30500000	0.008970375228881836	0.014597630249083043	0.15804839373876797	0.06831414478228941	0.170827796875	0.025980798828125	0.1962719703899345	0.30496359965986125	0.2197100818949998	0.4667652249484178	0.16209765390865138	0.1786413718465169
chr6	30500000	31000000	0.01950975703430176	0.021599851562201976	0.1688187474166334	0.06454084464990925	0.0837775637547477	0.06455752576214509	0.14051832638025766	0.22541388824719652	0.09504497561059816	0.3218704897732618	0.39610246577322283	0.3730135245841381
chr6	31000000	31500000	0.10472814544677735	0.09953884327578545	0.5809988434520392	0.5763514347757432	0.6970079605899011	0.40309655236285497	0.2538854828706992	0.22023643618636754	0.20838014891057383	0.44676534974558757	0.05012555373519366	0.042064504597224
chr6	31500000	32000000	0.10939621588134765	0.08378731909012795	0.660219507411579	0.40051483927958204	0.5595557217491013	0.103923140625	0.18997563461889402	0.18432345819540358	0.24470154629711832	0.4518277490152499	0.029510122616846057	0.013008773491645044
chr6	32000000	32500000	0.028730498565673827	0.02776163277554512	0.3821252206485249	0.11189453666401958	0.0	0.077942328125	0.17900256997711492	0.087832326811615	0.18377921400857533	0.5525427673905535	0.011697607968150593	0.016995604086817696
chr6	32500000	33000000	0.03590652716064453	0.03591592365813255	0.35063057698775707	0.0609796459512516	0.0	0.032476	0.1767105426148694	0.1303628425700076	0.1118700606441819	0.4359466555376751	0.004208758484056738	0.005273835628091827
chr6	33000000	33500000	0.030492396362304688	0.027538291121482848	0.29122535535954974	0.028178702776227676	0.0	0.0	0.14455449282436178	0.24155287567488237	0.132920397321502	0.4154374000832163	0.00539843783144091	0.005583717380738074
chr6	33500000	34000000	0.027766624603271485	0.02491808408021927	0.2675975173129243	0.015939776269837863	0.0459921015625	0.0	0.14795020271624942	0.16959704079932605	0.17001742352582627	0.4068198849744099	0.003635995030872157	0.01266439033322741
chr6	34000000	34500000	0.030695654235839843	0.02887731290268898	0.2452811104716828	0.14647236517228585	0.3788859503381521	0.0	0.18763512107648753	0.16200997159900848	0.24987730236117686	0.48807649311307577	1.3470480836701157	0.8072448422030072
chr6	34500000	35000000	0.053983995025634765	0.05407771298861504	0.3654396240530776	0.22850846920991957	0.4524442663050587	0.0	0.1992453721689552	0.16857144750667208	0.18270508680103445	0.4074414867129442	0.38022934300982364	0.8160181462465625
chr6	35000000	35500000	0.06157493832397461	0.0547478079161644	0.45333610937811997	0.25725348926854397	0.1926191320824815	0.43517803125	0.18459418168748026	0.23623652113740576	0.15913693967907838	0.451296830707457	0.06531604978842813	0.051043420816199725
chr6	35500000	36000000	0.0594496552734375	0.04862013353824615	0.3972058373758237	0.10401671933371456	0.09990614998837298	0.04144644322378139	0.13239468537178423	0.19646085322805132	0.1276163206683329	0.3969724854643287	0.017316848771500783	0.032125286612946856
chr6	36000000	36500000	0.0846034015045166	0.06420396341347695	0.47527217130715854	0.11826099485656642	0.22305611456718472	0.1079430763074686	0.0944843323512222	0.16214355640836348	0.08025503494437376	0.3477528421199147	0.0001324596124565015	0.0004500989733301392
chr6	36500000	37000000	0.03119408500671387	0.037255482642889026	0.3605095639071236	0.0661090024306748	0.0	0.0	0.09865691672276967	0.07596445176471724	0.10354452791012336	0.3929278138144888	0.0007205109229141572	0.0012635133543901665
chr6	37000000	37500000	0.09101916711425781	0.08902700219857693	0.6025338075009672	0.4778652036887847	0.6540766520448996	0.39593835005077543	0.21289961221344303	0.27100714814052207	0.18555927176632867	0.4704428949570074	0.0014565870571239075	0.0010454648117834283
chr6	37500000	38000000	0.01407697412109375	0.016209574516892433	0.20448088444504414	0.06050189471751742	0.14846758189287654	0.11718215190234953	0.14403617941253352	0.18527002246737204	0.10115566017351248	0.3831213955450291	0.023527778536265014	0.033284157677229066
chr6	38000000	38500000	0.014850499496459961	0.01595595333778858	0.17078307747915836	0.09515395285134787	0.31614632730747616	0.058456796875	0.17491259719386246	0.2211656581464517	0.15158261862562802	0.4419958642764208	0.04808633520476545	0.03715906712163881
chr6	38500000	39000000	0.02798389888000488	0.03114314747989178	0.30706677608014676	0.1685796180207209	0.26055077490783174	0.1818654765625	0.2140132535153784	0.21724834759091488	0.21793903559685393	0.5706738279076553	0.0957374693286028	0.09779087818479539
chr6	39000000	39500000	0.016231041511535645	0.019401889477550983	0.18394633070290659	0.062039710893041104	0.08593540603441593	0.0	0.19253256688466697	0.17618525129482385	0.1606667148626565	0.5225149709822492	0.5814271119538409	0.5883221879861262
chr6	39500000	40000000	0.01727293041229248	0.0198054815351367	0.22509826145588932	0.09158947903993327	0.065703	0.0	0.1593930668057528	0.11963601954411904	0.22367392737124664	0.5148866556709103	0.061322374902729695	0.09412322945328092
chr6	40000000	40500000	0.02116825897216797	0.023235247207045555	0.2903691366735099	0.032463973211986116	0.0	0.0	0.17148624222880662	0.18701248678646096	0.15543895624416365	0.5794874634652486	0.20492217029629226	0.27085737747300875
chr6	40500000	41000000	0.04820482818603516	0.04839280111944676	0.3692482833918855	0.0701635993261412	0.0	0.084437515625	0.12087115228394789	0.1663994956344241	0.118939243653063	0.3520905287609566	0.04343000777070988	0.0006296895486245784
chr6	41000000	41500000	0.04767957762145996	0.03967083893847465	0.2958254326148475	0.05358791148005176	0.05256240234375	0.0	0.1223977833066998	0.14994128974455936	0.10562671395935676	0.3674540325734208	0.043251231702866065	0.030086811516977095
chr6	41500000	42000000	0.08450034181213378	0.07152207959866523	0.5000957423427204	0.12642591654568228	0.36217573789338037	0.110418353515625	0.10925207671071062	0.10280863885105168	0.1440889392082651	0.35741385428842687	0.001280286942294142	0.0024093836869449577
chr6	42000000	42500000	0.0517984758605957	0.04559407082509995	0.3154204035808332	0.1266694202652816	0.31456512148161964	0.025980798828125	0.13934660462350557	0.0820443302263665	0.11736091735233602	0.36999580285774786	0.03318316942301124	0.015050240405215312
chr6	42500000	43000000	0.07816680587768554	0.07314762350225448	0.5106425751188723	0.12903167890946943	0.0	0.3099464793840011	0.12467686662215416	0.07675499615933265	0.14620020531240135	0.35472456105413674	0.0014671590908472653	0.005065130760010823
chr6	43000000	43500000	0.06457998052978516	0.05618243295407295	0.4192252335669179	0.10686043509232117	0.12113574017275792	0.2616306729597489	0.1347372749257714	0.1003531490787249	0.11788755956784643	0.39023030278312876	0.0358092657274809	0.04499095624199394
chr6	43500000	44000000	0.03252154949951172	0.031252167819738386	0.2601894897663738	0.03208688674174598	0.08911386529599208	0.0	0.11999260798290522	0.1546997673479671	0.1130146631969105	0.3589717217388618	0.0003443818928387443	0.001330092560763507
chr6	44000000	44500000	0.07356391979980469	0.06502943800997735	0.4978854011113468	0.08548648686029024	0.02302482512105409	0.21346943099791768	0.0827470472970057	0.06320964551622688	0.08913998402337996	0.26858878935576647	4.521728434703756e-05	1.1598314602707709e-05
chr6	44500000	45000000	0.07349440478515624	0.061041527426958085	0.3790149731211312	0.057984510219220645	0.055818776441445915	0.03984317056458231	0.07508156436897045	0.06800645342346284	0.07915017057599925	0.298032334510245	0.005879176043734573	0.00239770829950943
chr6	45000000	45500000	0.09353095193481445	0.07847002673268318	0.44259561210344694	0.11091610471601501	0.065703	0.09742794921875	0.06963686400226632	0.06377508466247465	0.04641173618838121	0.2570486167974705	4.44039476342484e-05	7.18492142182681e-05
chr6	45500000	46000000	0.0386633044128418	0.034812879904985425	0.22975407625767522	0.0388063054605481	0.0	0.0	0.07965641590126114	0.0513042548828125	0.08536456700920336	0.3083294104536103	0.00305899158505729	0.001801576234081919
chr6	46000000	46500000	0.03768938912963867	0.03699460674381256	0.295671047258761	0.018512148885155025	0.0	0.0	0.09882354611668442	0.06829071296140475	0.10027760678460221	0.3805555931705382	0.0003852399842680478	0.0011587848255079846
chr6	46500000	47000000	0.03062348745727539	0.0369717381067276	0.25819445544004593	0.020794164126122203	0.0	0.0	0.1074485554396504	0.09166604122152971	0.09697360849317557	0.3578773241376179	0.014012626164874826	0.030133829553203297
chr6	47000000	47500000	0.018907596633911134	0.024798217673182486	0.20015465755728334	0.019179589522572853	0.005418804307805596	0.0	0.13847616002863103	0.11979968185989373	0.16690184804506658	0.4124329452350895	0.15512134677608602	0.052300667070375624
chr6	47500000	48000000	0.08913656449890137	0.10665881342947484	0.13772797669276032	0.051170469668306025	0.14531206092127064	0.06495194921875	0.15123653412851662	0.09632647612445752	0.1265196606975517	0.37575487818201575	0.5120562862015395	0.7315726017786661
chr6	48000000	48500000	0.06903456066894531	0.06631944401597976	0.39251780985735324	0.2916817488333375	0.558910950912841	0.1409999923118743	0.23603180497233073	0.3402030722052395	0.23282768675360374	0.42686168290822096	0.007448578080615059	0.00474253778717869
chr6	48500000	49000000	0.017853130722045897	0.02204086295604706	0.2116457007023138	0.11349449802694517	0.08536450417058271	0.07334146081312572	0.20098138351656208	0.2248275132570958	0.20958570908260665	0.4546133044277284	0.015969496330018904	0.008228276789613471
chr6	49000000	49500000	0.0159815499420166	0.02220804360485077	0.183644676951253	0.06416169647724625	0.10604355212774204	0.0	0.16600711314684935	0.1447841488295109	0.14648463487844757	0.4399556975157203	0.3240628152157753	0.2928945729052715
chr6	49500000	50000000	0.13240385559082032	0.12297860330724716	0.7125735080137405	0.3184281866552811	0.268463549434758	0.38562575157070617	0.20161421293378118	0.22461132146972407	0.24405285728356976	0.41304244865975726	0.000483458990339373	0.001090687958420709
chr6	50000000	50500000	0.09000519366455079	0.07776815850973129	0.48980257879580175	0.23642592646039787	0.26970669895744515	0.38080722499179387	0.20220451917243726	0.24165414180697226	0.2111249451505616	0.4337738268328411	0.005359057336916079	0.005537877933894018
chr6	50500000	51000000	0.05432122113037109	0.055394975697040556	0.336684137096271	0.13873581861309728	0.16464302047791232	0.12602149999230675	0.18445453722897923	0.11947133300657509	0.1946397585272484	0.4150704721032119	0.2820929374531129	0.35440499237841416
chr6	51000000	51500000	0.12517772100830077	0.11344452900779248	0.6289935910683532	0.48148296990631434	0.2882320069643947	0.7043017812423067	0.22818692798714685	0.28877391151145937	0.1777839009136367	0.35742166779606516	0.06692363935477749	0.07730956338753626
chr6	51500000	52000000	0.10644446405029297	0.11162603919899464	0.5390558463318066	0.4724652840551259	0.4535019708658728	0.33164419025162073	0.26388535340341895	0.21807892873717055	0.2693236427838361	0.4475914193390637	0.09468048603532353	0.0908751840172701
chr6	52000000	52500000	0.08274220161437988	0.10049375111460686	0.5076070063289362	0.43875801716343094	0.6204316816162506	0.7541154582012658	0.20903552598248107	0.20618832770626108	0.18734141023886325	0.34385529375662455	0.04121583193044193	0.032010928997069366
chr6	52500000	53000000	0.019005364059448242	0.024057544164419173	0.2261524024560703	0.05745435022145126	0.05630921682124933	0.0	0.20191378006875393	0.2682988569882872	0.21170665064976754	0.47645854060810366	0.13853547665332186	0.07756154977248436
chr6	53000000	53500000	0.11913174353027343	0.10745451637125016	0.6323545151866389	0.4092651010381917	0.20515127306143904	0.18137408082789677	0.2262769866894038	0.1577448000823619	0.1884119842134726	0.39230216607293855	0.003600175854957861	0.01108641386713076
chr6	53500000	54000000	0.07061559674072265	0.07572919837188721	0.46407860427690695	0.3261998017907734	0.08394206482918595	0.2602992316721032	0.21234916697615805	0.27348142973303663	0.19189293917774752	0.4201357959803139	0.0019734949945276145	0.004045595542227575
chr6	54000000	54500000	0.0435750492553711	0.04541910535335541	0.3251855506720497	0.18911426872658244	0.2580109630194607	0.027102225182843016	0.2145546763373481	0.23590459810270686	0.14901898485999315	0.46713476925919695	0.020298210152250824	0.011769254009076791
chr6	54500000	55000000	0.0378264494934082	0.04506931249427795	0.3188139645156617	0.16819907113652252	0.19345588882432804	0.024859341223406984	0.2107854687241063	0.2843005796376077	0.14530750904830778	0.40044862571641876	0.17814967793436517	0.19524233073555405
chr6	55000000	55500000	0.05294288220214844	0.05082424792337418	0.42228548748769545	0.3264010670018458	0.23184435909371123	0.05491972335825949	0.21212010802359532	0.19037815834666433	0.2698643075200861	0.4573211423920422	0.18176331345392052	0.10554661456454079
chr6	55500000	56000000	0.09206656295776368	0.08630681995916367	0.6266073805200741	0.1670297712275866	0.1620971174990674	0.029517792266740523	0.16960277562736742	0.18432299631400867	0.170188331348766	0.40262215136123286	0.0003476153946157362	0.0013656343462593967
